date,Spain,Netherlands,France
2020-07-01,7.203,4.547,4.784
2020-07-02,7.212,4.4,5.033
2020-07-03,7.552,4.116,5.232
2020-07-04,7.915,3.977,4.987
2020-07-05,8.26,3.88,4.929
2020-07-06,8.396,3.928,4.558
2020-07-07,8.453,3.644,5.208
2020-07-08,8.636,3.457,5.688
2020-07-09,9.435,3.416,5.955
2020-07-10,10.339,3.294,6.103
2020-07-11,11.445,3.205,6.134
2020-07-12,13.154,3.359,6.766
2020-07-13,14.094,3.546,5.898
2020-07-14,14.644,3.798,6.057
2020-07-15,16.284,4.319,6.815
2020-07-16,18.089,4.742,7.487
2020-07-17,20.594,5.222,7.628
2020-07-18,22.925,5.58,7.487
2020-07-19,25.821,6.076,8.437
2020-07-20,28.644,6.482,10.489
2020-07-21,30.942,7.385,11.446
2020-07-22,33.15,7.963,11.678
2020-07-23,36.241,8.459,12.469
2020-07-24,38.524,8.825,12.682
2020-07-25,40.738,9.199,12.708
2020-07-26,42.876,9.516,13.712
2020-07-27,43.339,10.069,14.309
2020-07-28,43.991,10.281,14.784
2020-07-29,45.255,10.728,15.832
2020-07-30,46.992,11.363,16.453
2020-07-31,49.545,12.802,17.019
2020-08-01,52.885,14.315,17.264
2020-08-02,55.976,16.324,18.584
2020-08-03,60.004,17.511,20.003
2020-08-04,61.407,18.837,21.23
2020-08-05,63.636,20.976,22.545
2020-08-06,68.156,22.44,24.13
2020-08-07,71.521,24.588,24.716
2020-08-08,75.738,26.019,25.065
2020-08-09,81.343,26.45,26.743
2020-08-10,82.755,28.223,28.177
2020-08-11,85.131,31.599,30.405
2020-08-12,88.552,32.68,33.392
2020-08-13,93.824,34.494,36.842
2020-08-14,100.189,34.258,36.168
2020-08-15,106.801,35.153,36.557
2020-08-16,114.833,36.552,41.54
2020-08-17,118.768,35.918,45.994
2020-08-18,120.759,33.469,50.063
2020-08-19,123.979,32.436,53.644
2020-08-20,131.056,31.639,56.41
2020-08-21,137.812,31.273,59.812
2020-08-22,143.693,30.509,60.497
2020-08-23,150.034,29.297,63.888
2020-08-24,153.714,28.939,68.382
2020-08-25,156.7,29.647,72.564
2020-08-26,159.881,29.02,77.58
2020-08-27,165.279,29.175,82.332
2020-08-28,170.196,28.988,83.922
2020-08-29,174.095,28.728,84.755
2020-08-30,178.489,28.695,91.086
2020-08-31,180.989,29.11,95.213
2020-09-01,183.698,28.728,100.567
2020-09-02,185.485,29.142,105.447
